clust,lden,den,ID,Lat,Lon,depth,Country_number,Code,Grav_tot,reg_pop_growth,MPA_SCORE,RATING,Productivity_mean
218,-0.130682382,0.6,461,-14.35,136.94,0,2,AUS,0,0.004323194,0,none,613.486341
219,0.672736183,2.5,463,-14.4352,-146.076,0,13,PYF,0,9.354199958,0,none,163.4523058
220,-0.130682382,0.6,467,-14.52,145.53,1,2,AUS,1,0.000724682,2,Partially Effective,551.2195432
221,0.09531018,0.8,468,-14.53,-168.16,0,12,ASM,0,-0.13370025,1,Effective,114.7304423
222,0.279807894,1.3,472,-14.5,125,0.5,2,AUS,0,8.00E-06,0,none,1829.742553
223,0.40043994,1.6875,473,-14.6452,-147.637,0,13,PYF,3,8.405781372,0,none,151.4792007
224,-0.356674944,0.4,474,-14.65,145.45,0.5,2,AUS,1,0.001411167,1,Effective,628.7120433
225,-0.289909248,0.45,476,-14.6634,145.691,1,2,AUS,1,0.002334089,2,Partially Effective,571.9278342
226,-0.356674944,0.4,484,-14.69,145.47,0,2,AUS,1,0.001417864,2,Partially Effective,624.6885509
227,0.024395082,0.8,485,-14.74,145.52,0,2,AUS,1,0.001509537,2,Partially Effective,601.959477
228,0.785868023,2.75,487,-14.9156,145.691,0,2,AUS,1,0.001845643,2,Partially Effective,519.6030434
229,-0.223143551,0.5,492,-14.9653,167.153,1,14,VUT,2,42.16009646,0,none,3462.47316
230,0.557980464,2.75,493,-14.9756,-147.636,1,13,PYF,3,8.297699404,0,none,169.1363496
231,-0.356674944,0.4,495,-15.01,-148.27,0,13,PYF,0,6.384709458,0,none,169.6888364
232,0.573701226,2.3,496,-15.07,124.33,0,2,AUS,0,7.68E-06,0,none,735.9973099
233,0.485389459,2.375,497,-15.2589,145.824,0,2,AUS,1,0.002150893,2,Partially Effective,341.9983214
234,-0.504163638,0.3125,498,-15.3773,168.131,0.5,14,VUT,4,51.50340405,0,none,27318.46381
235,0.934649523,2.6875,500,-15.3957,145.764,0,2,AUS,1,0.001797549,2,Partially Effective,491.6825095
236,-0.356674944,0.4,502,-15.45,123.25,0,2,AUS,0,6.46E-05,0,none,906.5418582
237,0.09531018,0.8,503,-15.45,140.18,1,2,AUS,0,511.0136842,0,none,724.8367562
238,0.709138703,3,504,-15.47,137.92,1,2,AUS,0,2.04E-05,0,none,472.4489329
239,-0.356674944,0.4,505,-15.48,147.1,0,2,AUS,1,511.0136842,0,none,204.5856253
240,0.350309598,1.1875,509,-15.5114,145.777,0,2,AUS,1,0.001943506,2,Partially Effective,505.5
241,-0.067853775,0.65,513,-15.52,123.27,1,2,AUS,0,0.001783809,0,none,887.6349418
242,-0.105360516,0.6,514,-15.52,140.12,1,2,AUS,0,1.36E-06,0,none,762.1992233
243,-0.356674944,0.4,515,-15.78,123.36,1,2,AUS,0,0.00112234,0,none,741.191951
244,0.29326755,1.25,516,-15.79,-146.14,1,13,PYF,0,11.04025857,0,none,168.5659234
245,-0.597837001,0.25,517,-15.86,-146.214,1,13,PYF,1,11.51358657,0,none,169.7078813
246,-0.356674944,0.4,518,-15.89,139.03,1,2,AUS,0,0.001842624,0,none,631.1368054
247,0.595443782,1.6875,520,-15.9012,-145.912,0,13,PYF,0,8.545420848,0,none,165.3062679
248,0.475828938,1.9,522,-15.92,123.05,0,2,AUS,0,0.001208369,0,none,878.091596
249,0.182321557,1,523,-15.9362,145.813,1,2,AUS,2,0.045862322,2,Partially Effective,414.771986
250,-0.23101773,0.5,529,-15.94,-145.91,0,13,PYF,0,8.449635928,0,none,168.762997
251,0.09531018,0.8,526,-15.93,-173.77,1,15,TON,2,-78.56798,0,none,163.6041452
252,0.764655934,2.125,532,-15.9676,145.82,0,2,AUS,2,0.06201586,2,Partially Effective,396.4321305
253,0.318673046,1.5,542,-16.0333,145.839,0,2,AUS,3,0.074768676,2,Partially Effective,350.5213441
254,-0.597837001,0.25,541,-16.018,145.806,0,2,AUS,3,0.07062428,2,Partially Effective,410.0463718
255,1.620000553,18.125,543,-16.0612,-145.622,1,13,PYF,0,4.900138332,0,none,220.7975758
256,0.521902026,1.875,544,-16.0725,145.843,0,2,AUS,3,0.091138408,2,Partially Effective,337.1506577
257,0.065514131,0.8125,547,-16.0763,145.754,0,2,AUS,4,0.078866617,2,Partially Effective,502.40172
258,-0.356674944,0.4,553,-16.08,-145.71,1,13,PYF,0,5.62222118,0,none,209.5
259,0.652813229,2.2,549,-16.07,138.91,1,2,AUS,0,0.000883685,0,none,711.527162
260,-0.597837001,0.25,550,-16.0891,-145.74,1,13,PYF,0,5.77310874,0,none,202.5265671
261,0.438254931,1.25,554,-16.1502,-145.82,1,13,PYF,0,6.148360232,0,none,180.5665471
262,0.048790164,0.75,555,-16.1632,179.754,1,16,FJI,14,-7.138102176,0,none,323
263,0.262364264,1,556,-16.1745,179.499,0,16,FJI,9,-6.842567521,0,none,320.6405035
264,-0.597837001,0.25,557,-16.1762,179.052,1,16,FJI,6,-8.446513233,2,Partially Effective,380.2370587
265,0.138105136,0.875,558,-16.1783,145.888,0,2,AUS,4,0.100232302,2,Partially Effective,307.9733639
266,0.048790164,0.75,559,-16.213,179.033,1,16,FJI,6,-8.410708481,2,Partially Effective,440.0807519
